"Yr","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annl"
"1987","3.34","4.82","2.78","0.61","0.28","0.94","0.38","T","0.00","1.59","1.62","4.84","21.20"
"1988","4.41","0.07","0.57","1.05","1.17","1.01","0.50","0.06","0.11","0.28","9.44","4.52","23.19"
"1989","1.76","3.80","10.04","1.53","0.90","M1.33","0.00","1.51","2.26","3.73","3.99","0.00","30.85"
"1990","4.13","4.91","1.15","1.82","2.54","0.52","0.23","0.65","0.64","0.29","1.31","1.67","19.86"
"1991","0.08","1.26","12.96","0.88","1.32","0.35","0.64","1.62","0.48","3.10","2.55","1.18","26.42"
"1992","1.08","5.38","1.83","0.14","0.23","1.67","0.97","0.16","0.56","3.54","0.31","10.56","26.43"
"1993","11.56","8.44","2.85","1.68","1.30","1.04","0.00","T","0.02","1.93","1.16","2.11","32.09"
"1994","1.36","6.47","M0.69","0.99","M1.43","T","0.12","0.00","0.33","1.11","8.31","4.21","25.02"
"1995","16.18","1.37","19.58","5.13","3.57","1.30","0.04","0.04","0.03","0.00","0.58","8.81","56.63"
"1996","12.78","11.57","6.09","3.57","4.18","0.73","0.03","0.51","0.15","1.38","6.66","18.50","66.15"
"1997","18.23","0.91","0.86","1.41","0.60","1.67","0.04","T","0.40","1.57","4.58","3.02","33.29"
"1998","9.64","13.92","5.48","1.11","2.31","1.80","0.31","0.33","2.64","0.39","5.59","4.17","47.69"
"1999","9.20","13.07","3.68","3.13","0.75","0.60","0.38","0.76","0.14","1.89","2.16","1.03","36.79"
"2000","11.86","8.80","0.50","1.63","2.37","0.10","0.00","T","0.85","2.40","1.95","1.53","31.99"
"2001","1.88","4.86","1.56","2.32","0.24","T","T","0.00","0.35","0.85","6.46","8.01","26.53"
"2002","3.18","1.93","4.49","1.96","0.43","T","0.22","0.00","T","0.02","6.74","9.75","28.72"
"2003","1.97","1.79","2.22","6.27","0.95","0.56","0.11","1.59","0.09","0.00","2.40","9.77","27.72"
"2004","2.06","7.25","0.94","0.62","0.77","0.27","0.00","0.00","0.05","5.23","1.72","7.20","26.11"
"2005","6.31","2.77","6.75","1.43","4.33","1.52","0.00","0.45","0.31","1.54","2.52","18.60","46.53"
"2006","7.33","5.15","6.43","6.23","0.54","T","0.00","T","0.00","0.16","3.10","2.98","31.92"
"2007","1.46","7.48","1.13","1.47","0.60","0.20","0.00","0.08","1.00","2.02","0.43","3.29","19.16"
"2008","7.58","4.03","1.10","0.18","0.62","0.01","T","0.00","T","1.09","2.87","4.58","22.06"
"2009","2.36","4.39","6.37","0.60","3.98","0.76","0.11","0.13","T","3.60","0.83","4.08","27.21"
"2010","7.68","2.65","4.03","4.03","1.55","0.44","0.00","0.28","0.02","7.63","M4.66","11.40","44.37"
"2011","0.84","6.55","12.73","2.00","2.04","2.12","0.03","0.00","M0.46","1.76","0.96","T","29.49"
"2012","5.48","1.81","6.82","2.53","0.35","0.60","0.42","0.61","0.14","1.53","5.12","11.72","37.13"
"2013","0.62","0.14","1.92","0.41","1.99","0.84","0.18","0.10","0.62","0.47","0.39","1.31","8.99"
"2014","2.05","7.52","2.88","1.45","0.84","T","0.56","0.89","0.96","0.68","2.35","4.57","24.75"
"2015","0.03","5.33","0.40","1.92","1.53","0.76","0.69","0.06","0.20","2.22","2.45","7.02","22.61"
"2016","7.88","1.19","6.90","2.85","1.09","0.30","0.00","0.11","0.06","9.04","2.25","7.02","38.69"
"2017","21.33","16.84","4.54","4.71","0.24","0.18","T","1.13","1.58","0.60","8.15","0.48","59.78"
"2018","3.78","1.25","12.32","2.58","2.57","T","0.29","0.00","0.00","0.82","3.91","2.38","29.90"
"2019","8.31","17.36","5.03","1.82","2.74","0.34","0.00","0.00","1.08","0.02","1.08","8.39","46.17"
"2020","2.22","0.12","4.73","1.76","1.30","0.21","0.00","0.28","0.01","0.00","2.89","2.24","15.76"
"2021","4.83","2.45","1.58","0.35","0.45","0.00","0.13","0.00","0.37","9.86","1.44","12.68","34.14"
"2022","0.17","0.64","0.80","4.36","0.81","0.48","0.00","0.54","0.95","0.08","2.67","14.30","25.80"
"2023","11.77","5.19","8.93","0.66","0.61","0.73","0.00","1.28","0.55","0.62","2.00","2.75","35.09"
"2024","3.66","6.13","10.67","0.82","1.29","0.00","0.60","0.12","0.33","0.66","3.36","5.88","33.52"
