"Yr","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annl"
"1946","0.23","0.05","0.33","1.39","1.02","M0.06","M0.13","0.21","0.00","M1.12","1.34","M0.76","6.64"
"1947","0.27","0.43","0.29","0.80","M0.37","0.84","0.04","2.62","0.37","2.74","0.44","1.50","10.71"
"1948","0.05","1.21","1.00","0.72","0.08","1.20","0.43","0.74","0.19","0.67","0.56","1.07","7.92"
"1949","1.59","0.23","1.69","0.42","0.87","1.09","0.49","0.48","0.15","2.34","0.04","0.39","9.78"
"1950","0.91","0.58","0.30","0.75","1.04","T","0.48","T","1.62","0.00","0.12","T","5.80"
"1951","0.52","0.40","0.05","1.81","0.55","0.09","0.16","1.26","0.25","1.12","0.87","1.47","8.55"
"1952","0.97","0.17","0.78","1.21","0.34"," ","0.43","0.56"," ","0.00","0.66","0.55","5.67"
"1953","0.38","0.23","0.68","1.11","0.15","0.01","0.48","1.29","0.00","2.25","0.95","M0.87","8.40"
"1954","0.36","0.11","0.83","M0.00","1.00","0.00","0.00","MT","0.93","M0.00","1.28","0.28","4.79"
"1955"," "," "," ","M0.00","0.20","0.23","0.11","0.66","0.13","0.01","0.89","0.20","2.43"
"1956","0.52"," ","M0.00","0.20","0.12","T","0.52","0.55","T","0.30","0.06","0.37","2.64"
"1957","1.40","0.39","0.41","1.71","1.93","0.27","0.83","2.23"," "," ","1.87","0.31","11.35"
"1958","0.42","1.37","0.57","0.35","0.34","0.02","0.07","0.85","0.82","0.15","0.12","0.00","5.08"
"1959","0.28","1.19","0.01","0.46","0.05","0.03","0.12","0.99","0.54","0.70","0.12","2.13","6.62"
"1960","0.15","0.91","0.62","0.43","0.47","0.03","0.22","0.36","0.81","0.70","0.62","0.36","5.68"
"1961","0.24","0.08","1.17","1.38","1.33","T","0.17","2.15","2.43","1.45","0.29","0.32","11.01"
"1962","0.44","1.16","0.15","0.74","0.08","1.35","0.45","0.00","2.24","0.76","0.54","0.83","8.74"
"1963","0.49","0.45","0.62","0.34","T","M0.22","0.92","1.56","0.64","0.57","0.16","0.04","6.01"
"1964","0.09","0.07","0.67","0.99","0.78","0.53","0.06","0.25","0.36"," "," ","0.42","4.22"
"1965","0.19","0.25","0.80","1.26","1.22","0.57","2.25","0.88","0.75","1.96","1.14","0.88","12.15"
"1966","0.17","0.54","0.06","0.97","0.68","0.03","0.37","0.81","1.09","0.37","0.37","0.57","6.03"
"1967","0.07","0.10","0.25","0.00","1.39","1.60","1.52","0.53","0.53","0.31","0.66","1.32","8.28"
"1968","0.41","0.41","0.39","1.16","0.38","0.07","1.02","2.10","0.12","0.52","0.38","0.31","7.27"
"1969","1.05","0.81","0.53","0.14","0.57","2.06","0.90","1.81","0.65","0.82","0.66","0.21","10.21"
"1970","0.16","0.04","1.17","0.76","0.09","0.83","0.02","0.32","0.33","0.95","0.63","0.36","5.66"
"1971","0.20","0.22","0.07","0.85","0.31","0.00","0.14","0.55","0.23","3.15","0.49","1.08","7.29"
"1972","0.00","0.00","0.00","0.57","0.03","0.51","0.17"," ","0.89","3.77","0.96","1.51","8.41"
"1973","1.17","0.07","0.99","1.55","1.46","0.97","0.23","0.41","0.45","1.07","1.16","0.43","9.96"
"1974","1.47","0.15","0.14","1.79","0.00","0.01","0.50","0.16","0.03","1.12","0.75","0.44","6.56"
"1975","0.34","0.28","3.19","1.41","1.54","0.44","0.85","0.05","0.53","0.94","0.32","0.98","10.87"
"1976","0.10","0.84","0.81","0.47","1.16","0.08","0.54","0.97","0.82","0.15","0.20","0.00","6.14"
"1977","0.81","0.07","0.25","0.94","0.15","0.50"," ","1.15","1.13","0.25","0.59","1.21","7.05"
"1978","2.19","1.01","0.67","2.66","0.40","T","0.11","0.10","0.07","0.11","1.28","1.86","10.46"
"1979","1.28","0.78","1.57","0.52","1.75","0.22","0.11","0.26","0.17","0.17","0.71","0.59","8.13"
"1980","0.82","1.27","2.67","1.12","1.79","0.10","0.65","0.81","1.02","1.55","0.60","0.30","12.70"
"1981","0.66","0.07","1.30","1.14","0.22","0.45","0.77","0.87","1.01","2.78","0.53","0.28","10.08"
"1982","0.25","0.19","0.66","0.00","0.10","0.05","0.43","1.85","1.52","0.18","0.64","0.75","6.62"
"1983","0.27","0.73","1.37","0.56","0.73","1.83","4.52","0.74","1.22","1.07","2.40","0.98","16.42"
"1984","0.25","0.45","0.94","2.11","0.03","1.31","0.94","0.83","0.35","2.45","0.38","1.20","11.24"
"1985","0.62","0.16","1.40","2.12","0.78","0.22","1.10","0.00","1.66","1.98","1.18","0.18","11.40"
"1986","0.10","0.18","0.42","1.52","1.58","0.21","0.99","0.38","0.76","2.49","0.42","0.61","9.66"
"1987","0.37","1.38","1.04","0.51","0.70","0.01","2.50","1.11","0.15","1.36","2.11","0.87","12.11"
"1988","0.90","0.29","0.69","0.65","1.49","T","0.17","1.66","0.54","0.40","0.97","0.37","8.13"
"1989","0.79","0.58","0.73","0.07","0.17","0.05","0.64","1.44","0.09","0.33","0.01","T","4.90"
"1990","0.81","0.33","0.67"," "," ","0.19","1.13","1.07","M0.82","0.70","0.88","0.52","7.12"
"1991","M0.59","0.30","0.80","0.23","0.10","0.00","0.48","0.98","M0.99","1.23"," "," ","5.70"
"1992","M0.00","0.48","0.92","0.24","0.91","0.05","1.19","0.37","0.75","0.64","0.60","0.94","7.09"
"1993","2.06","1.04","0.66","0.93","2.60","0.04","0.07","1.04","0.05","1.93","0.22","0.38","11.02"
"1994","0.36","0.57","0.02","1.16","0.44","0.13","0.11","0.91","0.72","0.67","0.94","0.73","6.76"
"1995","0.61"," ","1.50","0.59","2.62","1.18","1.12","0.96","0.21","0.01","0.48","0.19","9.47"
"1996","0.33","0.82","0.81","0.71","0.72","0.24","0.19","0.46","1.12","1.55","1.17","0.35","8.47"
"1997","0.76","0.93","0.24","1.33","0.94","0.18","0.92","1.89","3.36","1.17","0.78","0.60","13.10"
"1998","0.52","0.52","1.06","M0.57","M0.60","M0.52","M0.28","M0.12","1.03","2.79","0.67","M0.34","9.02"
