"Yr","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annl"
"1935","2.91","2.23","4.31","3.19","0.03","T","T","0.11","T","0.05","1.24","M0.42","14.49"
"1936","0.51","7.25","1.34","0.95","0.00","0.20","0.01","0.02","0.03","1.25","0.05","6.63","18.24"
"1937","1.99","7.87","4.04","0.24","0.28","0.00","0.00","0.00","0.00","0.01","0.00","3.54","17.97"
"1938","1.63","9.81","7.94","0.48","0.02","T","0.00","T","M0.01","0.01","T","7.26","27.16"
"1939","2.96","1.13","1.44","0.24","0.02","T","T","M0.01","5.67","0.13","0.08","0.38","12.06"
"1940","4.33","5.43","1.55","1.36","0.02","T","T","0.00","0.01","1.47","0.34","5.50","20.01"
"1941","2.21","12.42","8.14","2.67","T","MT","T","0.04","0.00","1.53","0.05","4.22","31.28"
"1942","0.59","1.05","1.26","2.44","T","T","0.00","0.23","T","0.58","1.24","1.01","8.40"
"1943","7.98","3.07","4.55","0.50","T","0.01","T","0.00","T","0.18","0.05","6.23","22.57"
"1944","0.96","8.65","2.47","0.60","0.02","0.05","T","T","0.01","0.05","3.72","0.90","17.43"
"1945","0.04","3.34","3.43","0.08","T","0.01","T","0.04","T","0.56","0.23","5.05","12.78"
"1946","0.11","1.52","3.66","0.92","0.04","T","T","0.00","0.02","0.92","6.04","3.47","16.70"
"1947","0.38","0.86","0.79","T","0.11","0.02","0.00","0.01","0.09","0.14","0.06","1.62","4.08"
"1948","T","1.29","3.07","0.78","T","0.16","T","T","T","0.09","T","2.20","7.59"
"1949","2.43","1.41","1.40","T","0.46","T","T","0.01","0.01","0.01","2.18","2.72","10.63"
"1950","2.57","1.67","0.87","0.56","T","T","0.01","0.00","0.38","0.24","1.05","0.03","7.38"
"1951","2.80","1.48","0.44","1.54","0.24","T","T","0.15","0.00","0.59","1.29","5.80","14.33"
"1952","10.03","0.63","6.14","1.58","T","T","T","T","0.13","0.00","3.13","3.31","24.95"
"1953","1.08","0.33","0.48","0.91","0.03","0.06","0.00","0.00","T","T","1.11","0.08","4.08"
"1954","4.60","2.98","2.99","0.13","0.02","0.08","T","T","T","T","2.03","0.86","13.69"
"1955","4.30","0.68","0.56","2.07","1.43","0.01","T","0.05","T","T","1.68","1.11","11.89"
"1956","8.39","0.59","T","3.72","0.46","T","0.00","T","0.00","0.12","0.00","0.34","13.62"
"1957","4.41","1.47","1.02","1.47","0.63","0.08","T","T","0.00","1.51","0.51","2.14","13.24"
"1958","2.08","6.46","5.30","3.09","0.04","0.00","T","0.39","0.07","0.06","T","T","17.49"
"1959","1.24","3.32","0.00","0.50","T","T","T","T","0.01","T","0.07","1.09","6.23"
"1960","2.94","2.26","0.31","1.45","0.05","T","0.00","0.00","T","0.01","2.40","0.15","9.57"
"1961","1.28","0.15","0.57","0.29","T","T","T","0.03","0.05","T","2.02","1.44","5.83"
"1962","2.56","11.57","1.10","T","0.02","T","0.00","0.00","0.00","0.12","T","T","15.37"
"1963","0.52","2.88","2.78","1.94","T","0.14","0.00","0.02","1.31","0.57","2.15","T","12.31"
"1964","1.43","T","1.79","0.33","0.01","0.32","T","0.00","0.00","0.33","1.72","2.05","7.98"
"1965","0.84","0.23","2.49","6.02","0.00","0.01","T","0.01","1.80","0.00","9.68","5.73","26.81"
"1966","0.96","1.51","0.53","0.00","0.22","0.00","T","T","0.30","0.06","4.07","5.26","12.91"
"1967","5.93","0.11","2.50","3.76","0.01","0.00","0.00","T","1.02","0.00","8.67","1.66","23.66"
"1968","0.90","0.49","3.34","0.49","0.00","0.01","0.01","0.11","0.03","0.55","0.37","1.28","7.58"
"1969","14.94","8.03","1.49","0.63","0.03","T","0.03","0.00","T","0.00","1.11","0.06","26.32"
"1970","1.59","2.58","2.36","0.00","0.00","0.04","0.00","0.00","0.00","0.00","5.05","4.92","16.54"
"1971","0.43","0.67","0.53","0.50","0.22","0.00","T","0.00","T","0.04","0.30","6.57","9.26"
"1972","0.00","0.13","T","0.03","0.03","0.07","0.00","0.35","0.02","0.29","3.26","2.36","6.54"
"1973","4.39","7.89","2.70","0.00","T","0.00","0.00","0.00","0.00","0.12","1.68","0.67","17.45"
"1974","8.35","0.14","3.78","0.10","0.08","0.00","0.00","0.00","0.00","0.58","0.07","3.59","16.69"
"1975","0.12","3.54","4.83","1.53","0.09","0.00","0.00","0.00","0.00","0.27","0.00","0.32","10.70"
"1976","0.00","3.71","1.81","0.84","0.05","0.22","0.00","0.08","2.82","0.24","0.49","0.75","11.01"
"1977","2.84","0.17","1.89","0.00","3.03","0.00","0.00","2.26","0.00","0.00","0.08","4.70","14.97"
"1978","7.70","8.91","8.02","1.77","0.00","0.00","0.00","0.00","0.39","0.05","2.28","1.45","30.57"
"1979","6.59","3.06","5.85","0.00","0.00","0.00","0.00","0.01","T","0.77","0.21","0.51","17.00"
"1980","7.50","12.75","4.79","0.31","0.13","0.00","0.00","0.00","0.00","0.00","0.00","0.85","26.33"
"1981","2.02","1.48","4.10","0.53","0.00","0.00","0.00","0.00","0.02","0.49","1.80","0.48","10.92"
"1982","2.17","0.70","3.54","1.39","0.12","0.00","0.00","0.00","0.84","0.19","4.41","1.05","14.41"
"1983","6.49","4.37","8.37","5.16","0.36","0.01","0.00","0.79","1.99","0.75","2.52","3.23","34.04"
"1984","0.17","0.00","0.28","0.69","0.00","0.01","0.00","0.40","0.23","0.15","1.44","5.53","8.90"
"1985","0.71","2.84","1.29","0.00","0.23","0.00","0.00","0.00","0.19","0.42","2.91","0.33","8.92"
"1986","2.19","6.10","5.27","0.45","0.00","0.00","0.18","0.00","1.97","0.53","0.94","0.37","18.00"
"1987","1.39","1.22","0.95","0.06","0.00","0.05","0.01","0.00","0.09","2.37","1.13","1.84","9.11"
"1988","1.65","1.72","0.26","3.41","0.00","0.00","0.00","0.05","0.04","0.00","0.70","3.80","11.63"
"1989","0.73","1.90","0.81","0.00","0.05","0.00","0.00","0.00","0.35","0.43","0.29","0.00","4.56"
"1990","1.24","3.12","0.17","0.58","1.17","0.00","0.00","0.02","0.00","0.00","0.19","0.00","6.49"
"1991","1.17","4.13","5.92","0.03","0.00","0.01","0.13","0.00","0.09","0.37","0.00","3.22","15.07"
"1992","1.74","7.96","7.12","0.33","0.04","0.00","0.08","0.00","0.00","0.70","0.00","4.68","22.65"
"1993","11.77","6.61","2.74","0.00","0.02","0.76","0.00","0.00","0.00","0.16","0.66","0.78","23.50"
"1994","0.33","3.21","1.86","0.83","0.28","0.00","0.00","0.00","0.00","0.19","0.61","1.35","8.66"
"1995","12.56","1.30","6.98","0.58","0.18","0.60","0.02","0.00","0.00","0.00","0.09","1.34","23.65"
"1996","3.16","4.94","2.16","0.71","0.04","0.00","0.00","0.00","0.00","1.06","1.59","4.09","17.75"
"1997","5.58","0.08","0.00","0.00","0.00","0.00","0.00","0.00","0.45","0.00","2.06","2.52","10.69"
"1998","4.12","13.68","4.06","0.97","3.10","0.05","0.00","0.00","0.01","0.00","1.32","0.54","27.85"
"1999","1.85","0.56","1.24","2.57","0.02","0.98","T","0.00","T","0.00","0.44","0.40","8.06"
"2000","0.88","5.54","2.82","1.49","T","0.00","0.00","0.07","0.15","0.98","T","T","11.93"
"2001","5.59","8.87","1.17","1.11","0.00","T","T","0.00","0.00","0.06","1.42","1.38","19.60"
"2002","0.80","0.29","0.32","0.09","0.05","0.01","0.00","T","T","0.05","2.43","3.31","7.35"
"2003","T","4.64","4.32","0.71","1.02","0.01","T","T","0.00","0.53","0.79","1.35","13.37"
"2004","0.47","4.89","1.17","0.04","0.00","0.00","T","0.00","T","4.56","0.20","8.77","20.10"
"2005","9.32","11.02","2.14","1.05","0.19","T","T","0.00","0.29","1.35","0.22","1.03","26.61"
"2006","2.06","2.37","2.87","2.15","0.85","T","T","0.00","T","0.34","0.16","0.81","11.61"
"2007","0.19","0.92","0.05","0.74","0.00","0.00","T","T","0.52","0.95","0.56","1.73","5.66"
"2008","7.97","1.64","0.01","0.04","0.11","0.00","0.00","0.00","T","0.02","1.85","2.79","14.43"
"2009","0.34","3.57","0.33","0.03","T","0.15","0.00","0.00","0.00","2.07","0.01","2.89","9.39"
"2010","4.94","4.27","0.48","1.65","0.05","0.00","T","0.00","T","0.94","0.53","10.23","23.09"
"2011","0.79","3.29","3.96","T","0.45","0.01","0.00","0.00","T","1.17","1.58","1.01","12.26"
"2012","1.30","0.16","1.75","1.71","0.01","0.00","0.01","0.00","T","0.02","1.03","2.16","8.15"
"2013","1.18","0.20","0.54","T","0.71","0.00","0.09","0.00","0.00","0.06","0.62","0.20","3.60"
"2014","T","3.58","1.18","0.35","0.00","0.00","T","0.04","0.01","0.25","0.48","3.88","9.77"
"2015","1.09","0.83","0.87","0.13","0.93","0.01","0.38","T","2.39","0.45","0.01","0.57","7.66"
"2016","3.17","0.79","1.60","0.24","0.05","0.00","0.00","0.00","T","0.52","0.88","4.55","11.80"
"2017","8.38","4.17","0.09","0.08","0.32","0.01","0.00","T","0.07","0.10","0.01","0.01","13.24"
"2018","1.77","0.03","2.69","0.02","0.09","0.00","0.00","0.00","0.00","0.57","1.58","2.11","8.86"
"2019","5.95","5.59","2.19","0.02","0.81","T","T","0.00","0.03","0.00","2.12","4.84","21.55"
"2020","0.32","0.04","4.34","3.02","0.14","0.00","0.00","0.00","0.00","0.00","0.11","1.84","9.81"
"2021","2.44","T","1.41","0.00","0.00","0.02","0.22","T","0.01","0.71","0.00","9.46","14.27"
"2022","0.19","0.06","1.41","0.33","0.00","0.01","0.00","0.00","0.37","0.02","1.98","2.81","7.18"
"2023","8.95","5.95","7.71","0.06","0.55","T","0.00","2.99","0.05","T","0.36","2.82","29.44"
"2024","2.05","12.66","3.50","0.63","0.13","0.00","0.00","0.00","0.00","0.00","0.14","0.02","19.13"
"2025","0.54","M4.88"," "," "," "," "," "," "," "," "," "," ","5.42"
