,Year,PMN,MWL,MPS,KSU,LCU,FCU,PT9,PT2,LGU,RRT,HLC,BIG,LPK,rainfall,temp,avg_ring_width,rainfall_lag1,scaled_temp,scaled_rainfall,scaled_rainfall_lag1
30,1973,0.973,0.778,0.671,1.135,0.806,0.717,0.833,0.801,0.461,0.495,1.1,0.957,1.048,7.71,55.3,0.828846153846154,2.44,-0.8895974585699787,0.8999979752067068,-0.9614235929140833
31,1974,1.0,0.829,0.898,0.671,0.702,0.792,0.916,0.838,0.828,0.835,0.999,0.908,0.904,5.37,55.9,0.8553846153846154,7.71,-0.284390998566468,0.07792338120927696,0.8949835522455509
32,1975,1.265,0.914,0.953,0.533,0.617,0.822,1.151,1.059,0.883,1.403,1.429,1.098,0.986,2.55,55.3,1.0086923076923078,5.37,-0.8895974585699787,-0.9127818987363437,0.07069650866423333
33,1976,0.884,0.748,0.916,0.947,0.857,0.894,0.724,0.924,1.077,1.197,0.83,0.969,1.045,4.66,56.0,0.9239999999999999,2.55,-0.18352325523254837,-0.17150950842242182,-0.9226750566773547
34,1977,1.569,1.269,1.015,0.688,0.689,1.266,1.098,1.235,1.177,2.124,1.114,1.518,0.876,5.35,57.1,1.202923076923077,4.66,0.9260219214405535,0.07089710262810218,-0.17940767977283315
35,1978,1.483,0.893,1.058,0.947,0.859,1.09,1.174,1.073,1.417,1.745,1.734,1.458,1.278,9.62,55.6,1.2468461538461537,5.35,-0.5869942285682198,1.571007579708882,0.06365132025755524
36,1979,1.826,1.052,1.091,1.042,1.359,0.973,1.379,1.259,1.626,1.512,1.995,1.16,1.254,2.65,56.0,1.3483076923076924,9.62,-0.18352325523254837,-0.8776505058304706,1.5677990450832928
37,1980,1.935,1.192,1.265,1.675,2.166,1.577,1.585,1.796,1.964,1.137,1.832,1.306,1.315,6.91,55.5,1.595769230769231,2.65,-0.6878619719021395,0.6189468319597222,-0.887449114643965
38,1981,1.34,0.885,0.694,0.865,1.099,1.103,0.762,0.927,1.415,1.12,1.136,0.839,0.962,4.74,57.8,1.0113076923076922,6.91,1.6320961247779766,-0.14340439409772335,0.6131760159784339
39,1982,1.445,1.157,0.975,1.405,1.874,1.032,1.306,1.607,1.55,1.203,0.91,1.365,1.034,10.41,54.1,1.2971538461538463,4.74,-2.100010378576993,1.8485455836652798,-0.1512269261461214
40,1983,2.554,1.835,1.664,2.714,3.209,2.159,2.291,2.586,1.894,2.204,2.313,1.933,1.134,8.15,55.4,2.191538461538461,10.41,-0.7887297152360591,1.0545761039925483,1.8460839871470713
41,1984,1.456,0.904,0.868,1.554,1.543,1.412,1.019,1.14,1.605,1.501,0.981,0.676,0.984,5.11,56.4,1.2033076923076924,8.15,0.21994771810312308,-0.013418240345992944,1.0499776971924655
42,1985,1.279,1.192,1.028,1.744,2.357,1.21,1.711,1.323,1.246,1.39,0.503,1.522,0.922,3.19,55.7,1.3405384615384617,5.11,-0.48612648523430013,-0.687940984138756,-0.020890940622579672
43,1986,1.709,1.266,1.262,1.694,1.731,1.338,1.724,1.622,1.839,1.743,1.198,1.254,1.111,6.15,56.0,1.4993076923076925,3.19,-0.18352325523254837,0.351948245875087,-0.697229027663661
44,1987,0.468,0.663,1.007,0.612,0.81,1.172,1.134,1.063,1.067,0.98,0.294,0.706,0.967,4.12,55.6,0.8417692307692308,6.15,-0.5869942285682198,-0.3612190301141364,0.3454588565246726
45,1988,1.607,1.128,0.751,1.153,0.72,1.419,0.867,0.898,1.295,1.548,1.392,1.658,1.063,3.52,56.5,1.1922307692307692,4.12,0.32081546143704276,-0.5720073875493749,-0.36962776675313724
46,1989,0.629,0.775,0.719,0.916,0.629,1.073,0.663,0.89,0.843,0.892,0.3,0.907,0.987,1.81,56.7,0.7863846153846155,3.52,0.522550948104882,-1.1727542062398044,-0.5809834189534752
47,1990,-0.024,0.355,0.703,0.291,0.293,0.705,0.296,0.767,0.547,0.62,-0.013,0.234,0.987,3.36,56.1,0.4431538461538462,1.81,-0.0826555118986287,-0.6282176161987718,-1.183347027724438
