Year,PMN,MWL,MPS,KSU,LCU,FCU,PT9,PT2,LGU,RRT,HLC,BIG,LPK,bishop_temp,bishop_rainfall,avg_ring_width,bishop_temp_lag1
1988,1.607,1.128,0.751,1.153,0.72,1.419,0.867,0.898,1.295,1.548,1.392,1.658,1.063,56.5,3.52,1.1922307692307692,55.6
1989,0.629,0.775,0.719,0.916,0.629,1.073,0.663,0.89,0.843,0.892,0.3,0.907,0.987,56.7,1.81,0.7863846153846155,56.5
1990,-0.024,0.355,0.703,0.291,0.293,0.705,0.296,0.767,0.547,0.62,-0.013,0.234,0.987,56.1,3.36,0.4431538461538462,56.7
1991,0.743,0.711,1.039,1.149,0.795,0.916,0.811,1.059,0.771,0.616,0.497,0.721,0.997,55.8,4.58,0.8326923076923076,56.1
1992,1.463,1.41,1.578,1.037,1.247,0.947,1.31,1.255,0.876,0.978,1.115,0.993,1.256,56.8,4.98,1.1896153846153845,55.8
1993,1.874,1.535,1.842,1.271,1.49,1.199,1.674,1.468,0.877,1.129,1.966,1.239,1.285,55.0,5.86,1.4499230769230769,56.8
1994,1.48,0.999,1.36,1.471,1.549,0.971,1.353,1.181,1.139,1.103,1.178,0.969,0.873,56.0,4.33,1.2019999999999997,55.0
1995,2.352,1.592,1.953,2.325,2.522,1.182,1.895,1.971,1.872,1.646,2.173,1.477,1.117,56.1,8.27,1.8520769230769234,56.0
1996,0.932,1.172,1.067,0.8,0.785,0.962,1.098,1.337,1.103,1.11,0.491,1.004,1.044,57.2,3.98,0.9926923076923077,56.1
1997,1.155,0.897,0.901,1.034,1.277,1.171,1.077,1.6,1.021,0.721,0.418,0.783,0.799,56.1,3.94,0.9887692307692306,57.2
1998,2.037,1.575,1.572,2.479,2.194,1.437,1.941,2.061,1.216,1.123,1.716,1.894,1.004,53.8,9.28,1.7114615384615386,56.1
1999,1.74,0.879,1.069,1.008,0.923,1.159,0.815,1.018,1.402,1.139,1.411,0.925,0.756,56.3,2.4,1.0956923076923077,53.8
2000,1.219,0.635,0.672,0.708,0.712,0.404,0.779,0.795,0.911,0.667,1.48,0.711,1.04,56.7,2.59,0.8256153846153846,56.3
2001,1.066,0.885,0.745,0.475,0.289,0.42,0.385,0.471,0.967,0.651,1.458,0.612,0.934,56.8,5.05,0.7198461538461538,56.7
2002,-0.018,-0.085,0.127,-0.006,-0.01,0.054,-0.043,-0.051,0.197,0.348,-0.013,-0.03,0.139,56.7,2.68,0.046846153846153836,56.8
2003,1.244,1.515,1.347,1.127,0.814,1.063,0.557,0.407,0.804,1.094,1.179,0.856,1.072,57.3,2.46,1.006076923076923,56.7
2004,0.303,0.999,0.955,0.658,0.272,0.556,0.266,0.097,0.427,0.639,0.407,0.578,0.915,56.3,5.86,0.544,57.3
2005,1.255,1.578,1.583,1.94,1.231,1.231,0.864,0.457,0.688,1.127,1.366,1.258,1.047,56.6,9.49,1.2019230769230769,56.3
2006,1.637,1.511,1.264,1.455,0.892,1.442,1.067,0.641,0.959,1.154,1.676,1.54,1.266,55.8,5.34,1.2695384615384613,56.6
2007,-0.018,-0.085,0.129,-0.006,-0.01,0.452,0.042,-0.051,0.607,0.272,-0.013,-0.03,0.518,57.2,1.86,0.139,55.8
2008,1.232,1.716,0.95,1.494,1.389,1.112,1.216,0.673,1.074,0.753,1.041,1.284,1.289,56.1,7.75,1.171,57.2
2009,0.687,0.96,0.721,1.124,0.831,1.057,0.81,0.56,1.237,0.77,1.099,1.178,0.896,56.4,4.7,0.9176923076923077,56.1
2010,1.344,1.505,1.1,1.796,1.327,1.242,1.211,0.762,1.662,1.325,1.299,1.475,1.241,55.5,9.14,1.3299230769230768,56.4
2011,1.739,2.207,1.796,2.264,1.99,1.771,1.836,1.471,2.652,1.859,1.945,1.956,1.272,55.3,3.19,1.9044615384615384,55.5
2012,0.719,1.792,1.415,1.136,0.702,1.605,0.958,0.974,2.376,1.283,0.735,0.804,1.126,56.8,3.48,1.2019230769230769,55.3
2013,0.2,0.703,0.748,0.357,0.203,0.857,0.395,0.567,0.942,0.678,-0.013,-0.029,0.95,57.6,1.33,0.5044615384615385,56.8
2014,-0.018,0.604,0.785,0.242,0.127,0.775,0.499,0.639,0.726,0.376,0.262,0.727,1.074,59.6,3.23,0.5244615384615384,57.6
2015,-0.018,0.613,0.56,0.186,0.28,0.882,0.329,0.502,0.381,0.712,0.205,0.651,1.069,59.1,3.37,0.48861538461538456,59.6
